op,device_route,io_compute_types,contract_key,layout_contract,shape_and_memory_gating,primary_fallback_reasons
MUL_MAT(F16),HMX,"dst=f32, w=f16, a=f32 -> compute fp16 mma",sd.npu.contract.layout.matmul.f16,permute_32x32.v1,"n%32==0,k%32==0,m>=min_m,k>=min_k,n>=min_n; dst/w/a contiguous; 128B aligned",matmul-name-filter|matmul-adaln-disabled|matmul-min-shape|matmul-contiguous-or-align|matmul-f16-disabled|matmul-f16-shape|matmul-type-unsupported|compute-failed-single-thread|backend-uninitialized|skip-by-env
MUL_MAT(Q4_0),HMX,"dst=f32, w=q4_0, a=f32 -> dequant+mma",sd.npu.contract.layout.matmul.q4_0,common_deq.v1,"n%32==0,k%256==0,m>=min_m,k>=min_k,n>=min_n; dst/w/a contiguous; 128B aligned; runtime repack/permute enabled",matmul-name-filter|matmul-adaln-disabled|matmul-min-shape|matmul-contiguous-or-align|matmul-quant-disabled|matmul-q4-shape|matmul-type-unsupported|compute-failed-single-thread|backend-uninitialized|skip-by-env
MUL_MAT(Q8_0),HMX,"dst=f32, w=q8_0, a=f32 -> dequant+mma",sd.npu.contract.layout.matmul.q8_0,common_deq.v1,"n%32==0,k%256==0,m>=min_m,k>=min_k,n>=min_n; dst/w/a contiguous; 128B aligned; runtime repack/permute enabled",matmul-name-filter|matmul-adaln-disabled|matmul-min-shape|matmul-contiguous-or-align|matmul-quant-disabled|matmul-q8-shape|matmul-type-unsupported|compute-failed-single-thread|backend-uninitialized|skip-by-env
MUL_MAT(IQ4_NL),HMX,"dst=f32, w=iq4_nl, a=f32 -> dequant+mma",sd.npu.contract.layout.matmul.iq4_nl,common_deq.v1,"n%32==0,k%256==0,m>=min_m,k>=min_k,n>=min_n; dst/w/a contiguous; 128B aligned; runtime repack/permute enabled",matmul-name-filter|matmul-adaln-disabled|matmul-min-shape|matmul-contiguous-or-align|matmul-quant-disabled|matmul-iq4-shape|matmul-type-unsupported|compute-failed-single-thread|backend-uninitialized|skip-by-env
FLASH_ATTN_EXT,HVX+HMX(current eager path),"dst=f32,q=f32,k=f16,v=f16,mask=f16/null; scale only (max_bias=0,softcap=0)",sd.npu.contract.layout.flash_attn_ext,f32_q_f16_kv.v1,"dst/q/k/v(/mask) contiguous and 128B aligned",flash-disabled|flash-contiguous-or-align|flash-type-contract|compute-failed-single-thread|backend-uninitialized|skip-by-env
REPEAT,CPU fallback,"ggml native",N/A,N/A,"no htp offload route in v1",unknown-op|backend-uninitialized|skip-by-env
MUL,CPU fallback,"ggml native",N/A,N/A,"no htp offload route in v1",unknown-op|backend-uninitialized|skip-by-env
ADD,CPU fallback,"ggml native",N/A,N/A,"no htp offload route in v1",unknown-op|backend-uninitialized|skip-by-env
CONT,CPU fallback,"ggml native",N/A,N/A,"no htp offload route in v1",unknown-op|backend-uninitialized|skip-by-env
PAD,CPU fallback,"ggml native",N/A,N/A,"no htp offload route in v1",unknown-op|backend-uninitialized|skip-by-env
CONCAT,CPU fallback,"ggml native",N/A,N/A,"no htp offload route in v1",unknown-op|backend-uninitialized|skip-by-env
RMS_NORM,CPU fallback(v1),"ggml native",N/A,N/A,"htp rms_norm path disabled by policy",rms-norm-disabled|backend-uninitialized|skip-by-env
